UDI,ProductID,ProductType,AirTemp,ProcessTemp,TempDifference,RPM,RotationPerSeconds,Torque,Power,ToolWear,OverstrainReading,Target,FailureType
1,M14860,M,298.1,308.6,10.5,1551,162.4203402,42.8,6951.59056,0,0,0,No Failure
2,L47181,L,298.2,308.7,10.5,1408,147.4454152,46.3,6826.722724,3,138.9,0,No Failure
3,L47182,L,298.1,308.5,10.4,1498,156.8701932,49.4,7749.387543,5,247,0,No Failure
4,L47183,L,298.2,308.6,10.4,1433,150.0634091,39.5,5927.504659,7,276.5,0,No Failure
5,L47184,L,298.2,308.7,10.5,1408,147.4454152,40,5897.816608,9,360,0,No Failure
6,M14865,M,298.1,308.6,10.5,1425,149.225651,41.9,6252.554779,11,460.9,0,No Failure
7,L47186,L,298.1,308.6,10.5,1558,163.1533785,42.4,6917.703247,14,593.6,0,No Failure
8,L47187,L,298.1,308.6,10.5,1527,159.9070661,40.2,6428.264056,16,643.2,0,No Failure
9,M14868,M,298.3,308.7,10.4,1667,174.5678318,28.6,4992.639989,18,514.8,0,No Failure
10,M14869,M,298.5,309,10.5,1741,182.3170937,28,5104.878623,21,588,0,No Failure
11,H29424,H,298.4,308.9,10.5,1782,186.6106036,23.9,4459.993427,24,573.6,0,No Failure
12,H29425,H,298.6,309.1,10.5,1423,149.0162115,44.3,6601.418171,29,1284.7,0,No Failure
13,M14872,M,298.6,309.1,10.5,1339,140.2197521,51.1,7165.229333,34,1737.4,0,No Failure
14,M14873,M,298.6,309.2,10.6,1742,182.4218134,30,5472.654403,37,1110,0,No Failure
15,L47194,L,298.6,309.2,10.6,2035,213.1047017,19.6,4176.852153,40,784,0,No Failure
16,L47195,L,298.6,309.2,10.6,1542,161.4778624,48.4,7815.52854,42,2032.8,0,No Failure
17,M14876,M,298.6,309.2,10.6,1311,137.287599,46.6,6397.602112,44,2050.4,0,No Failure
18,M14877,M,298.7,309.2,10.5,1410,147.6548547,45.6,6733.061375,47,2143.2,0,No Failure
19,H29432,H,298.8,309.2,10.4,1306,136.7640002,54.5,7453.63801,50,2725,0,No Failure
20,M14879,M,298.9,309.3,10.4,1632,170.9026404,32.5,5554.335812,55,1787.5,0,No Failure
21,H29434,H,298.9,309.3,10.4,1375,143.9896633,42.7,6148.358622,58,2476.6,0,No Failure
22,L47201,L,298.8,309.3,10.5,1450,151.8436449,44.8,6802.595293,63,2822.4,0,No Failure
23,M14882,M,298.9,309.3,10.4,1581,165.5619328,30.7,5082.751338,65,1995.5,0,No Failure
24,L47203,L,299,309.4,10.4,1758,184.0973295,25.7,4731.301368,68,1747.6,0,No Failure
25,M14884,M,299,309.4,10.4,1561,163.4675377,37.3,6097.339158,70,2611,0,No Failure
26,L47205,L,299,309.5,10.5,1861,194.8834643,23.3,4540.784718,73,1700.9,0,No Failure
27,L47206,L,299.1,309.5,10.4,1512,158.3362697,39,6175.11452,75,2925,0,No Failure
28,H29441,H,299.1,309.4,10.3,1811,189.6474765,24.6,4665.327922,77,1894.2,0,No Failure
29,L47208,L,299.1,309.4,10.3,1439,150.6917276,44.2,6660.574361,82,3624.4,0,No Failure
30,L47209,L,299,309.4,10.4,1693,177.2905454,30.1,5336.445417,84,2528.4,0,No Failure
31,M14890,M,299.1,309.5,10.4,1339,140.2197521,48.2,6758.592051,86,4145.2,0,No Failure
32,L47211,L,299,309.4,10.4,1798,188.2861197,25.5,4801.296052,89,2269.5,0,No Failure
33,L47212,L,299,309.4,10.4,1419,148.5973325,48.3,7177.25116,91,4395.3,0,No Failure
34,L47213,L,298.9,309.3,10.4,1665,174.3583923,32.5,5666.647749,93,3022.5,0,No Failure
