UDI,ProductID,ProductType,AirTemp,ProcessTemp,TempDifference,RPM,RotationPerSeconds,Torque,Power,ToolWear,OverstrainReading,Target,FailureType
2000,L49179,L,298.4,308,9.6,1540,161.2684229,37.8,6095.946385,7,264.6,0,No Failure
2001,L49180,L,298.4,308.1,9.7,1279,133.9365668,53.1,7112.031697,9,477.9,0,No Failure
2002,L49181,L,298.4,308.2,9.8,1604,167.9704872,34.9,5862.170004,11,383.9,0,No Failure
2003,L49182,L,298.5,308.2,9.7,1654,173.206475,27.1,4693.895472,13,352.3,0,No Failure
2004,M16863,M,298.5,308.2,9.7,1564,163.781697,37.5,6141.813638,15,562.5,0,No Failure
2005,L49184,L,298.5,308.2,9.7,1451,151.9483647,47.5,7217.547322,18,855,0,No Failure
2006,L49185,L,298.5,308.3,9.8,1504,157.4985117,38,5984.943445,20,760,0,No Failure
2007,M16866,M,298.5,308.3,9.8,1381,144.6179818,50.5,7303.208082,22,1111,0,No Failure
2008,L49187,L,298.6,308.4,9.8,1562,163.5722575,34.4,5626.885658,25,860,0,No Failure
2009,L49188,L,298.5,308.3,9.8,1811,189.6474765,24.7,4684.29267,27,666.9,0,No Failure
2010,M16869,M,298.6,308.3,9.7,1717,179.8038195,28.7,5160.369621,29,832.3,0,No Failure
2011,L49190,L,298.6,308.3,9.7,1278,133.831847,60.5,8096.826746,32,1936,0,No Failure
2012,L49191,L,298.7,308.5,9.8,1616,169.2271243,30.2,5110.659153,34,1026.8,0,No Failure
2013,L49192,L,298.6,308.4,9.8,1397,146.2934979,46.4,6788.018303,36,1670.4,0,No Failure
2014,L49193,L,298.6,308.4,9.8,1485,155.5088364,42.9,6671.32908,38,1630.2,0,No Failure
2015,L49194,L,298.6,308.4,9.8,1310,137.1828792,59.7,8189.817889,40,2388,0,No Failure
2016,L49195,L,298.5,308.2,9.7,1301,136.2404014,66.3,9032.738614,42,2784.6,1,Power Failure
2017,L49196,L,298.5,308.3,9.8,1458,152.681403,44,6717.98173,44,1936,0,No Failure
2018,L49197,L,298.7,308.5,9.8,1483,155.2993968,42.5,6600.224366,46,1955,0,No Failure
2019,L49198,L,298.7,308.5,9.8,1375,143.9896633,46.4,6681.120377,48,2227.2,0,No Failure
2020,M16879,M,298.7,308.5,9.8,1660,173.8347935,27,4693.539424,50,1350,0,No Failure
2021,H31434,H,298.7,308.4,9.7,1560,163.362818,33.3,5439.981839,53,1764.9,0,No Failure
2022,L49201,L,298.7,308.5,9.8,1480,154.9852376,42.2,6540.377026,58,2447.6,0,No Failure
2023,L49202,L,298.7,308.4,9.7,1373,143.7802238,46.9,6743.292495,60,2814,0,No Failure
2024,L49203,L,298.7,308.5,9.8,1444,151.2153264,54.2,8195.87069,62,3360.4,0,No Failure
2025,M16884,M,298.7,308.6,9.9,1722,180.3274183,24.7,4454.087232,64,1580.8,0,No Failure
2026,L49205,L,298.7,308.5,9.8,1469,153.8333203,39.9,6137.949479,67,2673.3,0,No Failure
2027,M16886,M,298.7,308.5,9.8,1360,142.418867,52.9,7533.958062,69,3650.1,0,No Failure
2028,L49207,L,298.7,308.4,9.7,1750,183.2595715,25.8,4728.096944,72,1857.6,0,No Failure
2029,M16888,M,298.7,308.3,9.6,1349,141.2669497,46.6,6583.039854,74,3448.4,0,No Failure
2030,L49209,L,298.7,308.5,9.8,1668,174.6725515,35.2,6148.473814,77,2710.4,0,No Failure
2031,L49210,L,298.9,308.6,9.7,1400,146.6076572,49.5,7257.07903,79,3910.5,0,No Failure
2032,L49211,L,298.8,308.6,9.8,1331,139.3819941,62.8,8753.189227,81,5086.8,0,No Failure
2033,L49212,L,298.8,308.5,9.7,1444,151.2153264,42.2,6381.286774,83,3502.6,0,No Failure
2034,H31447,H,298.8,308.5,9.7,1359,142.3141472,47.6,6774.153407,85,4046,0,No Failure
